,steps,rewards
0,0,0.02624530210303739
1,1,-0.03980440704488151
2,2,0.010677935948912086
3,3,-0.004401806847195347
4,4,0.002623402449473953
5,5,0.05781420920789681
6,6,0.07379375388473046
7,7,0.07891440265973082
8,8,0.04660147851947161
9,9,0.06278205766008994
10,10,0.11668984685586675
11,11,0.10123825073694716
12,12,0.10848214364246217
13,13,0.13637078996302665
14,14,0.16410413393609247
15,15,0.14375759919795425
16,16,0.1422059227767438
17,17,0.19226563144109282
18,18,0.19477169022304291
19,19,0.16968219323470995
20,20,0.17380263027408813
21,21,0.24986481529059568
22,22,0.20847607284691735
23,23,0.23300394283484022
24,24,0.23711298639099837
25,25,0.26738726057897066
26,26,0.27012479317183075
27,27,0.335481221877603
28,28,0.3068767720474237
29,29,0.28116094090374893
30,30,0.3072771546617272
31,31,0.32690722088263263
32,32,0.364273555746218
33,33,0.348251995097921
34,34,0.3218372368957394
35,35,0.35205800183286096
36,36,0.37724789764770356
37,37,0.38208001930735686
38,38,0.3743040221351569
39,39,0.3671498887254954
40,40,0.37569001771039634
41,41,0.4065531559528699
42,42,0.3959397141723702
43,43,0.4581545149395511
44,44,0.43714174649493964
45,45,0.48790820611429303
46,46,0.4802386987716304
47,47,0.514528763261379
48,48,0.470775037181165
49,49,0.4829886514696449
50,50,0.5385651911671757
51,51,0.528132306635224
52,52,0.482692631031587
53,53,0.5365749904589483
54,54,0.565334580602623
55,55,0.5400099479909312
56,56,0.5693526460734292
57,57,0.5568875402876544
58,58,0.5993031116223047
59,59,0.5667451459163789
60,60,0.5881682677988785
61,61,0.6045548069949679
62,62,0.6365495731208584
63,63,0.6520806619321187
64,64,0.6388314892938629
65,65,0.6474123513634201
66,66,0.6880431432412262
67,67,0.6747451776848187
68,68,0.6543017018411168
69,69,0.7050478547494846
70,70,0.7486217134545805
71,71,0.7443109274921069
72,72,0.7564132949285016
73,73,0.7808781504259059
74,74,0.7418880744920642
75,75,0.7878173786246114
76,76,0.8115828396374906
77,77,0.7584316334309074
78,78,0.8097648363159424
79,79,0.8082440006165058
80,80,0.8021182250841811
81,81,0.8590428894668817
82,82,0.8881359682401849
83,83,0.8140867626347577
84,84,0.8665797048811623
85,85,0.8711090619567868
86,86,0.8764847258671619
87,87,0.9013647408596877
88,88,0.8590462954711758
89,89,0.9143432737222333
90,90,0.8669259579676304
91,91,0.9095277443628463
92,92,0.9195925741498784
93,93,0.9177468832794533
94,94,0.9713737647022367
95,95,1.0118397272824975
96,96,0.9837333057811578
97,97,0.9881887126838205
98,98,1.0064427073516133
99,99,1.0446799322238318
100,100,1.0034535000036937
101,101,1.0409561875555375
102,102,1.0376402911595557
103,103,1.0764143587214607
104,104,1.0613613388990992
105,105,1.0610409402141945
106,106,1.0546898317828826
107,107,1.039301777623171
108,108,1.0681205150745328
109,109,1.11917384659534
110,110,1.1611149212840366
111,111,1.130068214324139
112,112,1.1322582423994743
113,113,1.1392465944170238
114,114,1.191601808300364
115,115,1.157189254309736
116,116,1.1955326913058486
117,117,1.1593887018212077
118,118,1.184916132188757
119,119,1.1984396568360927
120,120,1.2142659686913322
121,121,1.2256749458841663
122,122,1.230797758154864
123,123,1.2766165354053953
124,124,1.2554281195531374
125,125,1.2860220118489216
126,126,1.2728164745310482
127,127,1.2661478911869777
128,128,1.352459905079993
129,129,1.300294794566217
130,130,1.3286650918004292
131,131,1.3491467202270215
132,132,1.3417168784889937
