,steps,rewards
0,0,0.01886089766362565
1,1,0.9949623178763524
2,2,2.003715571115221
3,3,2.9898568137657935
4,4,3.962529642424662
5,5,4.971122238636818
6,6,6.031886642682877
7,7,7.002152499955643
8,8,8.032011491700205
9,9,9.039661333512024
10,10,9.97884094824916
11,11,10.991853439474912
12,12,11.990078996926833
13,13,12.989970538481598
14,14,14.007947752862552
15,15,15.04944358875114
16,16,16.000263956818383
17,17,17.001157665638488
18,18,18.02125607039449
19,19,19.04146322421365
20,20,20.03932122580405
21,21,20.991234338986832
22,22,22.004536439841782
23,23,23.00379276591452
24,24,23.985006944060284
25,25,25.043153382522718
26,26,25.983731393902463
27,27,27.012580693736528
28,28,28.011365140516666
29,29,29.03992075260769
30,30,30.019358085696627
31,31,31.019177306142034
32,32,31.97649801688547
33,33,32.991361134005516
34,34,33.99931697578004
35,35,35.02966757892656
36,36,36.01855927860744
37,37,37.050251588668324
38,38,38.02126835899281
39,39,38.99770107324917
40,40,39.99184064907214
41,41,41.019484016874294
42,42,42.03635048086297
43,43,42.96559428078992
44,44,44.051504020664794
45,45,45.001774678300706
46,46,45.97794103775367
47,47,46.982399867163174
48,48,47.9590332645024
49,49,48.992771149474926
50,50,50.03772583915443
51,51,51.00071268145329
52,52,51.99813076100522
53,53,53.00239989852963
54,54,54.00703792121947
55,55,55.034818489278216
56,56,56.0217191172285
57,57,57.04002895168367
58,58,58.00454828521631
59,59,59.01654377538689
60,60,59.99376542328118
61,61,61.00902718897126
62,62,61.99079609323022
63,63,62.99385657241135
64,64,64.02720347622692
65,65,65.00673041357138
66,66,65.97452028710703
67,67,66.95228208878623
68,68,67.99566687272444
69,69,69.0235543188297
70,70,70.00057938193478
71,71,71.03736561336255
72,72,72.01355646207737
73,73,73.00368632406486
74,74,74.0210803228081
75,75,75.00764991035001
76,76,76.02537692807782
77,77,76.94017951008504
78,78,78.0188283431937
79,79,78.9873264026832
80,80,80.04272061814393
81,81,80.98215226840946
82,82,81.9908590355422
83,83,83.0066178506191
84,84,84.01470626381911
85,85,84.98483565974546
86,86,85.98700729925959
87,87,87.0091733252435
88,88,88.01057398976916
89,89,88.96547562324905
90,90,89.96886225123056
91,91,90.99898265620439
92,92,92.00260105277752
93,93,92.97888407193565
94,94,94.0120544899222
95,95,94.98232735892418
96,96,95.96529934782063
97,97,96.97709920799105
98,98,97.96155282008256
99,99,98.97197865416948
100,100,99.99532485163081
101,101,100.96000173379117
102,102,102.00896051585036
103,103,102.98522372290653
104,104,104.03319986423334
105,105,105.0233159936572
106,106,105.99108740877334
107,107,107.0071821663148
108,108,108.0109339954735
109,109,109.02410947042566
110,110,110.05929855833283
111,111,111.02075781060118
112,112,111.98541980856902
113,113,113.03384301292658
114,114,114.04111600084741
115,115,115.00339164514007
116,116,115.97684389182622
117,117,117.02586061253558
118,118,117.99976257784321
119,119,118.95209246588392
120,120,120.008141550791
121,121,121.01229353308001
122,122,122.00641470556846
123,123,122.98639605579297
124,124,123.99300129761465
125,125,125.02971549299528
126,126,125.96999765597235
127,127,127.00559313761332
128,128,128.00624439041655
129,129,129.01174925416092
130,130,129.97936373786584
131,131,131.0094435054533
132,132,131.99995467834765
133,133,133.02284006852915
134,134,133.9976130316579
135,135,135.04690528049804
136,136,136.0369086115431
137,137,136.99494750821387
138,138,138.03455547331222
139,139,139.00754701368692
140,140,139.94017907178312
141,141,141.02560238643173
142,142,141.96451320114525
143,143,142.97987489217311
144,144,144.02957658759328
145,145,144.98150401334087
146,146,146.02824074429353
147,147,146.98724620018015
148,148,148.04145329518877
149,149,148.9825268674663
150,150,149.95636244667077
151,151,151.05125252146976
152,152,151.99182018460186
153,153,153.01637460400775
154,154,154.0131865845281
155,155,155.02066788813391
156,156,156.0110791164985
157,157,157.0047287481354
158,158,158.00668399287224
159,159,159.01366458601774
160,160,159.99286996170042
161,161,161.02610762060223
162,162,161.9999370988181
163,163,162.99484225589146
164,164,163.98033695947026
165,165,165.01413177911843
166,166,165.97987121515598
167,167,167.04419188265462
168,168,167.98966745884724
169,169,169.00184647900434
170,170,169.99540775297385
171,171,170.98181300092344
172,172,171.9899668457742
173,173,173.02808353110532
174,174,174.01019006856154
175,175,175.0142260862329
176,176,176.02730272929446
177,177,177.032084219965
178,178,177.9753173614241
179,179,179.03399342641958
180,180,179.99193579106725
181,181,180.98167379071003
182,182,182.00859266144394
183,183,183.01790805580134
184,184,183.9942785472146
185,185,185.01517294668724
186,186,186.0184418176646
187,187,186.97555944030884
188,188,188.00826887004587
189,189,189.0074513669329
190,190,190.00022763506013
191,191,190.9752024857494
192,192,191.97691091862637
193,193,193.00618138506925
194,194,193.99888504499035
195,195,194.9919648869741
196,196,196.00376389961954
197,197,196.99658313159532
198,198,198.03277077266438
199,199,198.93194643902763
200,200,200.0318823759864
201,201,200.96946795135298
202,202,202.00491027102296
203,203,203.00295424200075
204,204,203.99094687293942
205,205,204.9872951482477
206,206,205.9991231216002
207,207,207.01201574932944
208,208,208.00047309294996
209,209,208.98990248363086
