,steps,rewards
390,390,39.45
391,391,38.65
392,392,37.7
393,393,37.5
394,394,38.0
395,395,37.55
396,396,38.35
397,397,38.3
398,398,37.95
399,399,38.15
400,400,38.45
401,401,37.9
402,402,38.550000000000004
403,403,38.25
404,404,37.4
405,405,38.25
406,406,37.45
407,407,37.85
408,408,37.85
409,409,38.2
410,410,38.6
411,411,38.3
412,412,38.35
413,413,38.550000000000004
414,414,37.95
415,415,38.550000000000004
416,416,38.7
417,417,38.65
418,418,38.6
419,419,38.6
420,420,38.85
421,421,37.5
422,422,38.05
423,423,38.9
424,424,38.45
425,425,37.75
426,426,38.9
427,427,37.85
428,428,37.8
429,429,38.1
430,430,38.25
431,431,37.6
432,432,37.65
433,433,38.35
434,434,38.0
435,435,38.1
436,436,38.2
437,437,37.05
438,438,38.35
439,439,38.05
440,440,38.7
441,441,37.3
442,442,38.25
443,443,37.7
444,444,37.1
445,445,38.65
446,446,38.25
447,447,38.0
448,448,38.4
449,449,37.7
450,450,38.15
451,451,38.800000000000004
452,452,38.35
453,453,39.15
454,454,38.25
455,455,38.25
456,456,37.05
457,457,37.8
458,458,38.1
459,459,38.1
460,460,38.550000000000004
461,461,37.85
462,462,38.35
463,463,38.35
464,464,37.75
465,465,37.9
466,466,37.55
467,467,38.35
468,468,38.7
469,469,38.4
470,470,38.3
471,471,38.3
472,472,38.65
473,473,37.95
474,474,37.9
475,475,37.6
476,476,38.05
477,477,38.1
478,478,38.7
479,479,37.5
480,480,38.4
481,481,38.45
482,482,38.7
483,483,37.85
484,484,37.95
485,485,38.2
486,486,38.35
487,487,38.05
488,488,37.7
489,489,38.45
490,490,38.25
491,491,38.0
492,492,37.75
493,493,37.8
494,494,37.55
495,495,38.35
496,496,38.05
497,497,38.550000000000004
498,498,38.4
499,499,38.3
500,500,38.25
501,501,38.2
502,502,37.55
503,503,39.4
504,504,38.3
505,505,38.15
506,506,38.45
507,507,38.45
508,508,38.1
509,509,37.4
510,510,37.65
511,511,37.95
512,512,38.65
513,513,39.0
514,514,38.15
515,515,37.75
516,516,38.75
517,517,38.1
518,518,37.25
519,519,38.25
520,520,37.7
521,521,38.95
522,522,38.75
523,523,37.65
524,524,38.75
525,525,38.75
526,526,38.45
527,527,37.55
528,528,38.550000000000004
529,529,38.75
530,530,38.65
531,531,38.25
532,532,38.25
533,533,38.05
534,534,37.65
535,535,38.35
536,536,38.6
537,537,37.85
538,538,38.5
539,539,38.05
540,540,37.95
541,541,38.0
542,542,38.550000000000004
543,543,38.0
544,544,38.15
545,545,38.15
546,546,37.95
547,547,37.75
548,548,37.85
549,549,37.8
550,550,38.2
551,551,37.9
552,552,38.5
553,553,37.8
554,554,37.65
555,555,37.3
556,556,37.7
557,557,38.15
558,558,38.75
559,559,38.25
560,560,38.5
561,561,38.1
562,562,38.800000000000004
563,563,38.35
564,564,38.6
565,565,39.2
566,566,38.800000000000004
567,567,37.7
568,568,37.65
569,569,37.95
570,570,38.25
571,571,38.05
572,572,38.4
573,573,37.75
574,574,39.15
575,575,38.05
576,576,38.25
577,577,38.1
578,578,37.8
579,579,38.45
580,580,38.35
581,581,37.45
582,582,38.4
583,583,38.1
584,584,37.75
585,585,38.05
586,586,37.8
587,587,38.6
588,588,38.5
589,589,38.3
590,590,38.6
591,591,38.7
592,592,37.45
593,593,37.55
594,594,37.45
595,595,38.6
596,596,38.3
597,597,37.45
598,598,38.35
599,599,38.6
600,600,38.4
601,601,38.2
602,602,38.15
603,603,37.95
604,604,38.800000000000004
605,605,37.35
606,606,37.75
607,607,38.4
608,608,38.15
609,609,38.6
610,610,37.35
611,611,38.15
612,612,38.3
613,613,37.85
614,614,38.35
615,615,38.45
616,616,38.05
617,617,37.6
618,618,37.75
619,619,37.95
620,620,38.3
621,621,38.4
622,622,38.0
623,623,38.15
624,624,38.15
625,625,38.550000000000004
626,626,38.4
627,627,38.4
628,628,37.9
629,629,38.45
630,630,38.25
631,631,38.5
632,632,38.4
633,633,38.550000000000004
634,634,38.6
635,635,38.7
636,636,38.15
637,637,38.35
638,638,39.050000000000004
639,639,37.75
640,640,38.15
641,641,39.0
642,642,38.15
643,643,38.3
